building_name	bldg_id	no_of_cluster_spec_rms_reported	geo_dist	org_id	prek_cap	incl_class	no_of_cluster_rms_needed	organization_name	enroll	target_capacity	target_utilization
P.S. 360 - X	X360	3	10	X360	18		3	P.S. 360 - X	501	501	100
I.S. 399 (OLD X HS/115) - X	X115	2	10	X363			0	M.S. 363 - X	399	474	84
M.S./H.S. 368 - X	X368	14	10	X368			0	M.S./H.S. 368 - X	1036	978	106
THEODORE ROOSEVELT HS - X	X435	4	10	X374			0	KAPPA - X	467	442	106
P.S. 79 - X	X079	4	10	X382	0		3	P.S. 382 - X	297	480	62
P.S. 79 - X	X079	3	10	X386	54		3	SCHOOL FOR ENVIR CITIZEN - X	511	641	80
P.S. 396 - X	X026	7	10	X390			0	I.S. 390 - X	403	483	83
I.S. 391 (UDC) - X	X137	9	10	X391			0	I.S. 391 - X	575	777	74
P.S. 396 - X	X026	3	10	X396	30		3	P.S. 396 - X	386	407	95
JOHN F. KENNEDY HS - X**	X475	2	10	X397			0	ELLIS PREPAR ATORY ACADEMY-X	335	442	76
WALTON HS - X	X430	2	10	X433			0	HS OF TEACHING & PROFESSIONS - X	499	543	92
THEODORE ROOSEVELT HS - X	X435	4	10	X434			0	BELMONT PREPARATORY HS - X	410	402	102
THEODORE ROOSEVELT HS - X	X435	7	10	X437			0	FORDHAM HS FOR THE ARTS - X	407	519	78
THEODORE ROOSEVELT HS - X	X435	6	10	X438			0	LEADERSHIP ACAD FOR BUS & TECH - X	460	529	87
THEODORE ROOSEVELT HS - X	X435	3	10	X439			0	HS OF LAW & COMMUNITY SERV - X	403	432	93
DEWITT CLINTON HS - X	X440	17	10	X440			0	DEWITT CLINTON HS - X	2744	2885	95
WALTON HS - X	X430	6	10	X442			0	CELIA CRUZ HS OF MUSIC - X	436	428	102
BRONX HS OF SCIENCE - X	X445	47	10	X445			0	BRONX HS OF SCIENCE - X	3037	2308	132
P.S. 79 - X	X079	4	10	X447			0	I.S. 447 - X	469	500	94
I.S. 399 (OLD X HS/115) - X	X115	4	10	X459			0	EAST FORDHAM ACADEMY FOR THE ARTS	356	365	98
JOHN F. KENNEDY HS - X**	X475	14	10	X475			0	JOHN F. KENNEDY HS - X	153	719	21
J.F. KENNEDY HS TRANSPORTABLE- X	X960		10	X475				JOHN F. KENNEDY HS - X	0		
JOHN F. KENNEDY HS - X**	X475	2	10	X477			0	MARBLE HILL INTERNATIONAL HS - X	447	475	94
GRACE H. DODGE VOC HS - X	X660	1	10	X524			0	CROTONA INTERNATIONAL HIGH SCHOOL - X	252	311	81
JOHN F. KENNEDY HS - X**	X475	0	10	X539			0	THE NEW VISIONS CHARTER SCHOOL FOR ADVANCED MATH AND SCIENCE - X	351	314	112
JOHN F. KENNEDY HS - X**	X475	3	10	X546			0	BRONX THEATRE HS - X	435	451	96
WALTON HS - X	X430	1	10	X549			0	DISCOVERY HS - X	542	385	141
JOHN F. KENNEDY HS - X**	X475	0	10	X553			0	THE NEW VISIONS CHARTER SCHOOL FOR THE HUMANAITIES - X	336	281	120
GRACE H. DODGE VOC HS - X	X660	1	10	X565			0	H.S. 565 - X	211	356	59
GRACE H. DODGE VOC HS - X	X660	6	10	X660			0	GRACE H. DODGE VOC HS - X	435	646	67
HS OF AMERICAN STUDIES - X	X905	1	10	X696			0	HS OF AMERICAN STUDIES - X	387	333	116
M.S./H.S. 368 - X	X368		10	X721				X721 SPED - X	50	64	78
P.S. 79 - X	X079	0	10	X998			0	ALTERNATIVE LEARNING CENTER -  BRONX	0	0	
P.S. 9 (OLD 115) - X	X009		10	XADM				D10 WELCOME CENTER - X			
P.S. 20 - X	X020		10	XCBO				TASC			
I.S. 45 - X	X045		10	XCBO				BEACON PROGRAM - X			
P.S. 79 - X	X079		10	XCBO				GOOD SHEPHERD AFTER-SCHOOL - X			
P.S. 86 - X	X086		10	XCBO				ASPIRA - X			
I.S. 399 (OLD X HS/115) - X	X115		10	XCBO				PATHWAYS FOR YOUTH - X			
M.S./H.S. 141 - X	X141		10	XCBO				RIVERDALE COMM. CENTER - X			
P.S. 306 - X	X306		10	XCBO				EPIC PROGRAM OFFICE - X			
THEODORE ROOSEVELT HS - X	X435		10	XCBO				MULTIPLE CBO'S - X			
P.S. 8 - X	X008		10	XSBH				MONTEFIORE SCH HLTH PRG - X			
I.S. 45 - X	X045		10	XSBH				MONTEFIORE CLINIC - X			
P.S. 95 - X	X095		10	XSBH				MONTIFIORE FAM HLTH CENTER - X			
JOHN F. KENNEDY HS - X**	X475		10	XSBH				COLUMBIA PRESBYTARIAN HOSPITAL -X			
I.S. 391 (UDC) - X	X137		10	XSFS				FOOD SERVICES - X			
THEODORE ROOSEVELT HS - X	X435		10	XSST				SCHOOL SAFETY - X			
CHRISTOPHER COLUMBUS HS - X	X415		11	X010		"#"		X010 SPED - X	6	0	0
P.S. 12 - X	X012		11	X012	0		0	X012 SPED - X	230	262	88
P.S. 16 - X**	X016	2	11	X016	48		9	P.S. 16 - X	380	400	117
P.S. 16 TRANSPORTABLE1 - X	X916		11	X016				P.S. 16 - X	88		
P.S. 16 TRANSPORTABLE2 - X	X942		11	X016				P.S. 16 - X	93		
P.S. 19 - X	X019	1	11	X019	0		3	P.S. 19 - X	501	340	147
P.S. 21 - X	X021	1	11	X021	0		3	P.S. 21 - X	696	671	104
P.S. 41 - X	X041	0	11	X041	0		4	P.S. 41 - X	876	706	124
P.S. 68 - X	X068	4	11	X068	18		4	P.S. 68 - X	549	630	87
P.S. 68 TEMP. C.R. BLDG. - X	X918		11	X068				P.S. 68 - X	225	144	156
P.S. 76 - X	X076	3	11	X076	0		4	P.S. 76 - X	787	685	115
P.S. 76 TEMP. C.R. BLDG. - X	X926		11	X076				P.S. 76 - X	259	160	162
P.S. 78 - X	X078	3	11	X078	0		4	P.S. 78 - X	802	631	127
P.S. 83 - X	X083	6	11	X083	0		5	P.S. 83 - X	885	889	100
P.S. 83 ANNEX - X	X981		11	X083				P.S. 83 - X	800	666	120
P.S. 87 - X**	X087	3	11	X087	0		6	P.S. 87 - X	436	355	179
P.S. 87 TRANSPORTABLE - X	X945		11	X087				P.S. 87 - X	200		
P.S. 89 - X	X089	5	11	X089	26		5	P.S. 89 - X	1177	1273	92
P.S. 89 TEMP. C.R. BLDG. - X	X919		11	X089				P.S. 89 - X	239	166	144
P.S. 96 - X	X096	4	11	X096	18		4	P.S. 96 - X	822	720	114
THE DOMINIC CASTORE EDUCATIONAL COMPLEX - X	X292		11	X096				P.S. 96 - X	165	142	116
P.S. 97 - X**	X097	2	11	X097	36		6	P.S. 97 - X	418	371	153
P.S. 97 TEMP. C.R. BLDG. - X	X917		11	X097				P.S. 97 - X	180	141	128
P.S. 97 TRANSPORTABLE - X	X997		11	X097				P.S. 97 - X	150		
P.S. 103 - X	X103	5	11	X103	0		4	P.S. 103 - X	808	767	105
P.S. 103 TEMP. C.R. BLDG. - X	X923		11	X103				P.S. 103 - X	298	195	153
P.S. 105 - X	X105	2	11	X105	0		5	P.S. 105 - X	1030	953	108
P.S. 105 TEMP. C.R. BLDG. - X	X935		11	X105				P.S. 105 - X	408	265	154
P.S. 106 - X	X106	2	11	X106	36		4	P.S. 106 - X	996	758	131
I.S. 127 - X	X127		11	X106				P.S. 106 - X	235	177	133
P.S. 108 - X**	X108	1	11	X108	0		6	P.S. 108 - X	392	358	165
P.S. 108 TRANSPORTABLE - X	X946		11	X108				P.S. 108 - X	200		
P.S. 111 - X	X111	4	11	X111	36		3	P.S. 111 - X	734	790	93
P.S. 112 - X	X112	3	11	X112	36		3	P.S. 112 - X	451	532	85
P.S. 121 - X	X121	4	11	X121	36		4	P.S. 121 - X	839	905	93
P.S. 121 TEMP. C.R. BLDG. - X	X921		11	X121				P.S. 121 - X	175	96	182
I.S. 127 - X	X127	5	11	X127			0	I.S. 127 - X	743	849	88
I.S. 142 - X	X142	1	11	X142			0	I.S. 142 - X	192	349	55
I.S. 144 - X	X144	9	11	X144			0	I.S. 144 - X	713	1254	57
P.S. 153 - X	X153	6	11	X153	0		3	P.S. 153 - X	669	611	109
P.S. 160 - X	X160	4	11	X160	0		3	P.S. 160 - X	383	348	110
P.S. 160 - X	X160		11	X168				X168 SPED - X	66	84	79
P.S./I.S. 194 - X	X194		11	X168				X168 SPED - X	45	47	96
THE WILLIE ELLA PASCHAL BOWMAN CAMPUS - X	X169	3	11	X169	36		3	P.S. 169 - X	428	363	118
P.S. 175 - X**	X175	3	11	X175	0		6	P.S. 175 - X	268	337	96
P.S. 175 TRANSPORTABLE - X	X906		11	X175				P.S. 175 - X	57		
P.S. 111 - X	X111		11	X176		"#"		X176 SPED - X	16	0	0
P.S. 153 - X	X153		11	X176		*		X176 SPED - X	118	161	73
P.S. 178 - X	X178		11	X176	0	*	0	X176 SPED - X	209	192	109
I.S. 181 - X	X181		11	X176		*		X176 SPED - X	178	168	106
HARRY S. TRUMAN HS - X	X455		11	X176				X176 SPED - X	208	179	116
THE LT. CURTIS MEYRAN AND JOHN BELLEW EDUCATION COMPLEX - X	X498		11	X176		*		X176 SPED - X	48	62	77
P.S. 178 - X	X178	2	11	X178	0		3	P.S. 178 - X	474	409	116
I.S. 180 - X	X180	15	11	X180			0	I.S. 180 - X	864	1063	81
I.S. 181 - X	X181	6	11	X181			0	I.S. 181 - X	873	900	97
P.S./I.S. 189 (@STEENWICK AVE)-X	X189	3	11	X189	36		3	P.S./I.S. 189 (@STEENWICK AVE)-X	369	330	112
P.S./I.S. 194 - X	X194	4	11	X194	0		5	P.S./I.S. 194 - X	1396	1013	138
HARRY S. TRUMAN HS - X	X455	0	11	X249			0	BRONX HEALTH SCIENCES HS - X	345	341	101
EVANDER CHILDS HS - X	X425	3	11	X253			0	HS FOR WRITING & COMM ARTS - X	413	470	88
EVANDER CHILDS HS - X	X425	4	11	X265			0	BRONX LAB SCHOOL - X	476	466	102
I.S./H.S. 362 - X	X362	4	11	X270			0	ACADEMY FOR SCHOLARSHIP AND ENTR - X	437	617	71
I.S. 113 - X	X113	4	11	X272			0	M.S./H.S. 272 - X	293	492	60
EVANDER CHILDS HS - X	X425	6	11	X275			0	HS OF COMPUTERS & TECHNOLOGY - X	556	419	133
I.S. 113 - X	X113	3	11	X287			0	THE FORWARD SCHOOL - X	250	341	73
CHRISTOPHER COLUMBUS HS - X	X415	3	11	X288			0	COLLEGIATE INST FOR MATH & SCI - X	656	800	82
I.S. 113 - X	X113	0	11	X289			0	THE YOUNG SCHOLARS ACADEMY - X	327	454	72
EVANDER CHILDS HS - X	X425	4	11	X290			0	BRONX ACAD OF HEALTH CAREERS - X	460	432	106
CHRISTOPHER COLUMBUS HS - X	X415	2	11	X299			0	ASTOR COLLEGIATE HS - X	474	506	94
I.S. 135 - X	X135	1	11	X322			0	I.S. 322 - X	96	441	22
I.S. 135 - X	X135	0	11	X326			0	I.S. 326 - X	404	322	125
I.S. 142 - X	X142	1	11	X355			0	BRONX ALLIANCE MIDDLE SCHOOL	101	191	53
THE DOMINIC CASTORE EDUCATIONAL COMPLEX - X	X292	2	11	X357	18		1	YOUNG VOICES ACADEMY OF THE BRONX	91	282	32
I.S. 113 - X	X113	0	11	X370			0	SCHOOL OF DIPLOMACY	285	440	65
THE LT. CURTIS MEYRAN AND JOHN BELLEW EDUCATION COMPLEX - X	X498	1	11	X378	0		3	CARL C. ICAHN NORTH BRONX CHARTER SCL - X	322	398	81
CHRISTOPHER COLUMBUS HS - X	X415	2	11	X415			0	CHRISTOPHER COLUMBUS HS - X	175	282	62
BRONX HS FOR THE VISUAL ARTS PARKING LOT - X	X778		11	X418				BRONX HS FOR THE VISUAL ARTS - X			
BRONX HS FOR THE VISUAL ARTS - X	X839	5	11	X418			0	BRONX HS FOR THE VISUAL ARTS - X	509	486	105
HARRY S. TRUMAN HS - X	X455	59	11	X455			0	HARRY S. TRUMAN HS - X	1911	2685	71
P.S./I.S. 189 (@STEENWICK AVE)-X	X189	3	11	X462			0	CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA)	247	324	76
I.S. 135 - X	X135	0	11	X468			0	PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT	320	245	131
P.S. 160 - X	X160	1	11	X488			0	THE EQUALITY CHARTER SCHOOL - X	238	290	82
THE LT. CURTIS MEYRAN AND JOHN BELLEW EDUCATION COMPLEX - X	X498	4	11	X498	11		3	P.S. / I.S. 498 - X	512	435	118
CHRISTOPHER COLUMBUS HS - X	X415	1	11	X508			0	BRONXDALE HIGH SCHOOL - X	332	268	124
CHRISTOPHER COLUMBUS HS - X	X415	2	11	X509			0	PELHAM HIGH SCHOOL FOR LANGUAGE AND INNOVATION - X	255	312	82
I.S./H.S. 362 - X	X362	7	11	X513			0	NEW WORLD HS - X	401	424	95
I.S./H.S. 362 - X	X362	5	11	X514			0	SPORTS PROFESSIONS HS - X	414	494	84
I.S. 142 - X	X142	1	11	X529			0	I.S. 529 - X	341	335	102
I.S. 142 - X	X142	0	11	X532			0	I.S. 532 - X	280	309	91
CHRISTOPHER COLUMBUS HS - X	X415	0	11	X541			0	GLOBAL ENTERPRISE HS - X	37	220	17
CHRISTOPHER COLUMBUS HS - X	X415	2	11	X542			0	PELHAM PREP HS - X	480	500	96
EVANDER CHILDS HS - X	X425	10	11	X544			0	HS FOR CONTEMPORARY ARTS - X	518	456	114
EVANDER CHILDS HS - X	X425	3	11	X545			0	BRONX AEROSPACE HS - X	404	422	96
I.S. 135 - X	X135	0	11	X556			0	I.S. 556 - X	259	106	244
I.S. 144 - X	X144	1	11	X566			0	I.S. 566 - X	301	280	108
I.S. 127 - X	X127	0	11	X567	0		1	P.S. 567 - X	98	125	78
P.S. 111 - X	X111		11	X718				BX CHARTER SCH FOR BETTER LRNG -X	88	55	160
P.S. 721 (OTC) - X	X722		11	X721	0		0	X721 SPED - X	392	298	132
P.S./I.S. 189 (@STEENWICK AVE)-X	X189		11	X723	0		0	X723 SPED - X	83	98	85
EVANDER CHILDS HS - X	X425		11	X723		"#"		X723 SPED - X	11	0	0
P.S. 10 - X	X701		11	X723				X723 SPED - X	52	68	76
I.S./H.S. 362 - X	X362		11	X754				X754 SPED - X	89	98	91
BRONX HS FOR THE VISUAL ARTS - X	X839		11	X811		*		X811 SPED - X	63	31	203
P.S. 121 - X	X121		11	XADM				REGION 2 DISTRICT 11 OFFICE - X			
HARRY S. TRUMAN HS - X	X455		11	XADM				HEARING EDUCATIONAL SERVICES - X			
I.S. 113 - X	X113		11	XCBO				YMCA - X			
HARRY S. TRUMAN HS - X	X455		11	XCBO				VARIOUS CBO'S - X			
P.S. 89 - X	X089		11	XCEP				CONTINUING EDUCATION PROGRAM - X			
P.S. 105 - X	X105		11	XSBH				MONTEFIORE CLINIC - X			
HARRY S. TRUMAN HS - X	X455		11	XSBH				SCHOOL BASED HEALTH CENTER - X			
HARRY S. TRUMAN HS - X	X455		11	XSFS				FOOD SERVICES - X			
P.S. 89 - X	X089		11	XSST				SCHOOL SAFETY - X			
HARRY S. TRUMAN HS - X	X455		11	XSST				OFFICE OF SCHOOL SAFETY - X			
P.S. 89 - X	X089		11	XUFT				UFT USE - X			
I.S. 98 - X	X098		12	M984				LYFE			
BRONX REGIONAL HS (OLD 133) - X	X401		12	M984				LYFE			
JAMES MONROE CAMPUS - X	X420		12	M984				LYFE			
BRONX REGIONAL HS (OLD 133) - X	X401		12	Q950				PATHWAYS TO GRADUATION - Q	385	718	54
OFFSITE EDUCATIONAL SERVICES - X	X989		12	Q950				PATHWAYS TO GRADUATION - Q	59	71	83
P.S. 6 - X	X006	4	12	X006	70		3	P.S. 6 - X	616	812	76
P.S. 234 (PAIRED W I129) - X**	X234		12	X010				X010 SPED - X	55	76	72
P.S. 811 ANNEX - X	X817		12	X010				X010 SPED - X	32	32	100
P.S. 44 - X	X044	2	12	X044	36		3	P.S. 44 - X	341	415	82
P.S. 47 - X	X047	0	12	X047	0		4	P.S. 47 - X	1130	790	143
P.S. 50 - X	X050	6	12	X050	0		2	P.S. 50 - X	187	365	51
P.S. 57 - X	X057	2	12	X057	35		3	P.S. 57 - X	558	533	105
P.S. 61 - X	X061	1	12	X061	18		3	P.S. 61 - X	355	480	74
P.S. 66 - X	X066	5	12	X066	54		3	P.S. 66 - X	665	699	95
P.S. 67 - X**	X067	1	12	X067	36		6	P.S. 67 - X	667	581	121
P.S. 67 TRANSPORTABLE - X	X967		12	X067				P.S. 67 - X	36		
P.S. 92 - X	X092	3	12	X092	36		3	P.S. 92 - X	506	541	94
I.S. 98 - X	X098	2	12	X098			0	I.S. 98 - X	315	715	44
P.S. 102 - X	X102	0	12	X102	0		1	P.S. 102 - X	119	83	143
P.S. 211 - X	X193	0	12	X124	0		2	CHILDREN'S AID SOCIETY COMMUNITY CHARTER SCHOOL	208	149	140
I.S. 129 (PAIRED W P234) - X	X129	5	12	X129			0	I.S. 129 - X	515	552	93
P.S. 134 - X	X134	4	12	X134	54		3	P.S. 134 - X	727	756	96
P.S. 150 - X	X150	3	12	X150	36		4	P.S. 150 - X	925	866	107
M.S./H.S. 270 - X	X973		12	X168		"#"		X168 SPED - X	16	0	0
P.S. 186 (OLD J136) - X	X136		12	X186	0		0	X186 SPED - X	352	514	68
P.S. 61 - X	X061	3	12	X190			0	I.S. 190 - X	253	289	88
P.S. 195 - X	X077	1	12	X195	35		4	P.S. 195 - X	647	597	108
P.S. 197 TEMP. C.R. BLDG S - X	X982		12	X195				P.S. 195 - X	282	132	214
P.S. 195 - X	X077	2	12	X196	36		4	P.S. 196 - X	704	542	130
P.S. 197 TEMP. C.R. BLDG. N - X	X976		12	X196				P.S. 196 - X	230	157	146
BRONX REGIONAL HS (OLD 133) - X	X401	1	12	X200			0	ROADS CHARTER SCHOOL II	252	266	95
P.S. 211 - X	X193	6	12	X211	104		3	P.S. 211 - X	637	745	86
P.S. 198 - X	X198	4	12	X212	36		3	P.S. 212 - X	496	502	99
P.S. 214 - X	X167	4	12	X214	48		4	P.S. 214 - X	1027	1098	94
I.S. 216 - X	X116	6	12	X217			0	I.S. 217 - X	351	488	72
JAMES MONROE HS CAMPUS ANNEX - X	X423	4	12	X242			0	I.S. 242 - X	651	465	140
REV. J.A. POLITE AVE SCHOOL CAMPUS - X	X099	2	12	X248			0	METROPOLITAN HS - X	313	348	90
I.S. 98 - X	X098	3	12	X251			0	EXPLORATIONS ACADEMY - X	357	452	79
I.S. 98 - X	X098	2	12	X262			0	BX HS OF PERFORMANCE & STAGE - X	23	72	32
I.S. 158 - X	X158	3	12	X267			0	I.S. 267 - X	523	654	80
M.S./H.S. 270 - X	X973	3	12	X271			0	EAST BRONX ACADEMY FOR THE FUTURE -X	609	512	119
P.S. 57 - X	X057	2	12	X273			0	I.S. 273 - X	258	325	79
REV. J.A. POLITE AVE SCHOOL CAMPUS - X	X099	1	12	X278			0	PEACE & DIVERSITY ACAD - X	189	325	58
P.S. 66 - X	X066	2	12	X286			0	I.S. 286 - X	251	302	83
MORRIS HS TRANPORTABLE - X	X961		12	X297				MORRIS COLLAB HS TECH & HUMAN - X	0		
P.S. 234 (PAIRED W I129) - X**	X234	2	12	X300	18		6	P.S. 300 - X	517	470	128
P.S. 234 TRANSPORTABLE - X	X941		12	X300				P.S. 300 - X	85		
P.S. 50 - X	X050	2	12	X314	35		2	FAIRMONT NEIGHBORHOOD SCHOOL	221	388	57
I.S. 129 (PAIRED W P234) - X	X129	2	12	X316			0	I.S. 316 - X	338	414	82
P.S. 211 - X	X193	1	12	X318			0	I.S. 318 - X	334	567	59
P.S. 44 - X	X044	2	12	X341			0	I.S. 341 - X	176	256	69
I.S. 216 - X	X116	2	12	X346	0		3	SOUTH BRONX CLASSICAL CHARTER SCHO	355	380	93
P.S. 92 - X	X092		12	X352				X352 SPED - X	157	184	85
P.S. 134 MINISCHOOL - X	X834		12	X352				X352 SPED - X	66	63	105
P.S. 67 - X**	X067	1	12	X372			0	I.S. 372 - X	552	561	98
P.S. 214 - X	X167	3	12	X383			0	I.S. 383 - X	249	359	69
I.S. 216 - X	X116	2	12	X384			0	ENTRADA ACADEMY - X	312	513	61
JAMES MONROE CAMPUS - X	X420	2	12	X388			0	PAN AMERICAN INTER HS- X	401	464	86
MORRIS HS TRANPORTABLE - X	X961		12	X403				BRONX INTERNATIONAL - X	0		
MORRIS HS TRANPORTABLE - X	X961		12	X404				HIGH SCHOOL FOR EXCELLENCE - X	0		
BRONX REGIONAL HS (OLD 133) - X	X401	3	12	X446			0	ARTURO A. SCHOMBERG SATELLITE ACADEMY - X	226	317	71
P.S. 198 - X	X198	5	12	X463	36		3	URBAN SCHOLARS COMMUNITY SCHOOL	314	422	74
JAMES MONROE HS CAMPUS ANNEX - X	X423	3	12	X478			0	THE CINEMA SCHOOL - X	318	310	103
I.S. 158 - X	X158	2	12	X479			0	BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL	323	430	75
BRONX REGIONAL HS (OLD 133) - X	X401	6	12	X480			0	BRONX REGIONAL HS - X	255	431	59
I.S. 158 - X	X158	5	12	X482			0	DR. IZQUIERDO HEALTH CHARTER SCHL - X	418	681	61
I.S. 98 - X	X098	1	12	X511			0	BRONX ENVISION ACADEMY - X	239	280	85
JAMES MONROE CAMPUS - X	X420	9	12	X521			0	THE METROPOLITAN SOUNDVIEW HIGH SCHOOL - X	316	386	82
P.S. 102 - X	X102	3	12	X531	18		3	ARCHER ELEMENTARY SCHOOL - X	427	333	128
P.S. 102 - X	X102	1	12	X536	18		3	P.S. 536 - X	351	276	127
MORRIS HS TRANPORTABLE - X	X961		12	X543				HS FOR VIOLIN AND DANCE - X	0		
JAMES MONROE CAMPUS - X	X420	1	12	X550			0	WORLD CULTURES HS - X	388	476	82
FANNIE LOU HAMER FREEDOM HS - X	X878	6	12	X682			0	FANNIE LOU HAMER FREEDOM HS - X	493	522	94
WINGS ACADEMY - X	X879	9	12	X684			0	WINGS ACADEMY - X	534	589	91
JAMES MONROE CAMPUS - X	X420	0	12	X690			0	MONROE ACADEMY FOR BUS. & LAW - X	56	135	41
P.S. 102 - X	X102	2	12	X691	18		3	BRONX LITTLE SCHOOL - X	372	293	127
JAMES MONROE CAMPUS - X	X420	11	12	X692			0	MONROE ACAD FOR VISUAL ARTS - X	460	597	77
JAMES MONROE HS CAMPUS ANNEX - X	X423		12	X721				X721 SPED - X	57	32	178
REV. J.A. POLITE AVE SCHOOL CAMPUS - X	X099		12	X723		"#"		X723 SPED - X	9	0	0
P.S. 811 (OLD I84) - X	X084		12	X811	0		0	X811 SPED - X	545	638	85
P.S. 6 TRANSPORTABLE - X	X936		12	X994				ALTERNATIVE LEARNING CENTER - X	0		
JAMES MONROE CAMPUS - X	X420	1	12	X995			0	ALTERNATIVE LEARNING CENTER - BRON	0	78	0
P.S. 811 (OLD I84) - X	X084		12	XADM				DISTRICT OFFICE #12 - X			
P.S. 61 - X	X061		12	XCBO				CHILDREN'S AID SOCIETY - X			
P.S. 811 (OLD I84) - X	X084		12	XSFS				DISTRICT 12 FOOD SERVICES - X			
P.S. 3 - K	K003	8	13	K003	54		3	P.S. 3 - K	513	833	62
P.S. 93 AX (ECF BD STUY ECC2)-K	K853		13	K004				K004 SPED - K	27	35	77
P.S. 8 - K	K008	1	13	K008	36		4	P.S. 8 - K	742	524	142
GEORGE WESTINGHOUSE VOC HS - K	K580		13	K008				P.S. 8 - K	106	284	37
P.S. 9 - K	K009	4	13	K009	54		3	P.S. 9 - K	722	716	101
P.S. 11 - K	K011	7	13	K011	54		3	P.S. 11 - K	732	727	101
P.S. 20 - K	K020	5	13	K020	18		3	P.S. 20 - K	321	403	80
P.S. 44 - K	K044	1	13	K044	18		3	P.S. 44 - K	287	559	51
P.S. 46 - K	K046	0	13	K046	54		3	P.S. 46 - K	417	401	104
P.S. 54 - K	K054	7	13	K054	36		3	P.S. 54 - K	251	500	50
P.S. 56 - K	K056	4	13	K056	18		2	P.S. 56 - K	236	536	44
P.S. 67 - K	K067	4	13	K067	11		3	P.S. 67 - K	276	303	91
P.S. 77 ANNEX - K	K902		13	K077	0		0	K077 SPED - K	137	126	109
P.S. 93 - K	K093	4	13	K093	36		3	P.S. 93 - K	338	702	48
P.S. 56 - K	K056	0	13	K103			0	I.S. 103 - K	58	126	46
I.S. 113 - K	K113	2	13	K113			0	I.S. 113 - K	718	1368	52
P.S. 133 WILLIAM A. BUTLER - K	K317	6	13	K133	72		3	P.S. 133 - K	465	765	61
I.S. 258 - K	K258		13	K140	0		0	K140 SPED - K	156	197	79
P.S. 54 - K	K054		13	K231		*		K231 SPED - K	52	88	59
P.S. 256 - K	K256	5	13	K256	18		3	P.S. 256 - K	355	684	52
I.S. 265 - K	K265	10	13	K265			0	I.S. 265 -BROOKLYN	503	703	72
P.S. 77 ANNEX - K	K902	0	13	K266			0	I.S. 266 - K	142	294	48
P.S. 270 - K	K270	2	13	K270	18		2	P.S. 270 - K	157	262	60
P.S. 282 - K	K282	3	13	K282	72		4	P.S. 282 - K	1004	939	107
P.S. 287 - K	K287	3	13	K287	18		2	P.S. 287 - K	215	397	54
P.S. 305 - K	K305	4	13	K301			0	I.S. 301 - K	164	320	51
P.S. 305 - K	K305	4	13	K305	18		2	P.S. 305 - K	219	343	64
P.S. 307 - K	K307	4	13	K307	35		3	P.S. 307 - K	370	413	90
P.S. 307 - K	K307	4	13	K313			0	I.S. 313 - K	119	363	33
I.S. 340 (OLD 249 AX) - K	K874	4	13	K340			0	I.S. 340 - K	208	322	65
WATER'S EDGE EDUCATIONAL COMPLEX - K	K805	2	13	K350			0	URBAN ASSEMB HS OF MUSIC AND ART-K	394	419	94
P.S. 56 - K	K056	3	13	K351			0	I.S. 351 - K	139	224	62
P.S. 56 - K	K056		13	K369		*		K369 SPED - K	21	29	72
P.S. 67 - K	K067		13	K369				K369 SPED - K	141	179	79
I.S. 117 - K	K117		13	K369		*		K369 SPED - K	52	52	100
I.S. 265 - K	K265		13	K369		"#"		K369 SPED - K	26	0	0
ADAMS STREET EDUCATIONAL CAMPUS - K	K313		13	K369				K369 SPED - K	96	114	84
P.S. 133 WILLIAM A. BUTLER - K	K317		13	K369				K369 SPED - K	34	34	100
GEORGE WESTINGHOUSE VOC HS - K	K580		13	K369		"#"		K369 SPED - K	6	0	0
I.S. 113 - K	K113		13	K372				K372 SPED - K	41	29	141
BOYS HS (OLD) - K	K458		13	K373		"#"		K373 SPED - K	12	0	0
I.S. 117 - K	K117	2	13	K412			0	BROOKLYN COMM. HS OF COMMUNICATION - K	394	533	74
WATER'S EDGE EDUCATIONAL COMPLEX - K	K805	12	13	K419			0	SCIENCE SKILLS CENTER HS - K	537	663	81
BROOKLYN TECH HS - K	K430	53	13	K430			0	BROOKLYN TECH HS - K	5458	4495	121
WATER'S EDGE EDUCATIONAL COMPLEX - K	K805	8	13	K439			0	BROOKLYN INTERNATIONAL HS - K	343	376	91
ADAMS STREET EDUCATIONAL CAMPUS - K	K313	6	13	K483			0	URBAN ASSEMBLY HS - K	449	372	121
P.S. 20 - K	K020	4	13	K492	0		3	I.S. 492- K	490	412	119
I.S. 258 - K	K258	5	13	K517	0		3	LEADERSHIP PREP CHTR - K	620	483	128
ADAMS STREET EDUCATIONAL CAMPUS - K	K313	2	13	K527			0	I.S. 527 - K	508	523	97
P.S. 67 - K	K067	5	13	K536	0		3	COMMUNITY ROOTS CHARTER - K	301	250	120
P.S. 287 - K	K287		13	K536				COMMUNITY ROOTS CHARTER - K	105	285	37
BOYS HS (OLD) - K	K458	3	13	K553			0	BROOKLYN ACADEMY HS - K	160	645	25
BOYS HS (OLD) - K	K458	5	13	K575			0	BED-STUYVESANT PREPARATORY HS - K	120	260	46
BEDFORD ACADEMY - K	K994	2	13	K595			0	BEDFORD ACADEMY HS - K	361	300	120
