peer_index	_2009_2010_additional_credit	_2008_09_progress_report_grade	_2009_2010_performance_category_score	_2009_2010_performance_grade	principal	dbn	_2009_2010_progress_category_score	school	_2009_2010_overall_grade	district	progress_report_type	school_level	_2009_2010_environment_grade	_2009_2010_overall_score	_2009_2010_environment_category_score	_2009_2010_progress_grade
2.74	2.3	A	5.6	D	Harry Sherman	11X127	29.0	J.H.S. 127 The Castle Hill	B	11	EMS	Middle	B	43.2	6.3	B
2.54	0.8	A	3.7	D	Casimiro Cibelli	11X142	18.8	MS 142 John Philip Sousa	C	11	EMS	Middle	D	27.1	3.8	C
2.59	1.3	A	5.8	D	Katina Lotakis	11X144	25.7	J.H.S. 144 Michelangelo	C	11	EMS	Middle	B	39.2	6.4	B
47.99	1.5	A	9.5	C	Veronica Goka	11X153	27.8	P.S. 153 Hellen Keller	B	11	EMS	Elementary	A	47.5	8.7	B
52.11	0.5	A	4.6	D	Lori Baker	11X160	27.0	P.S. 160 Walt Disney	C	11	EMS	Elementary	B	38.4	6.3	B
21.08	3.0	A	8.1	C	Amy Lipson	11X175	21.1	P.S. 175 City Island	C	11	EMS	K-8	B	38.8	6.6	C
52.06	4.3	A	2.7	D	Evelyn Fulton	11X178	28.2	P.S. 178 - Dr. Selman Waksman	C	11	EMS	Elementary	C	40.5	5.3	B
2.72	2.3	A	9.5	C	Frank Uzzo	11X180	28.0	M.S. 180 Dr. Daniel Hale Williams	B	11	EMS	Middle	B	48.5	8.7	B
2.76	2.5	A	11.6	B	Christopher Warnock	11X181	37.3	I.S. 181 Pablo Casals	B	11	EMS	Middle	B	59.5	8.1	A
58.85	0.0	C	0.0	F	Malissa Mootoo	11X189	4.3	Cornerstone Academy for Social Action	F	11	EMS	Elementary	D	7.6	3.3	F
51.42	1.0	A	7.5	C	Elmer Myers	11X194	25.4	PS/MS 194	B	11	EMS	K-8	B	42.0	8.1	B
2.58	4.5	A	20.5	A	Miriam Rivas	11X249	56.5	Bronx Health Sciences High School	A	11	HS	High School	A	93.3	11.8	A
2.26	4.5	B	13.2	C	Steven Chernigoff	11X253	30.6	Bronx High School for Writing and Communication Arts	C	11	HS	High School	C	56.4	8.1	C
2.49	0.0	A	18.5	A	Christophe Lagares	11X265	36.7	Bronx Lab School	B	11	HS	High School	C	63.5	8.3	B
2.33	0.0	B	15.4	B	Zenobia White	11X270	32.6	Academy for Scholarship and Entrepreneurship: A College Board School	C	11	HS	High School	C	55.2	7.2	C
2.73	1.5	A	2.5	F	Zenobia White	11X270	2.8	Academy for Scholarship and Entrepreneurship: A College Board School	C	11	EMS	Middle	C	11.7	4.9	F
2.66	0.0	B	3.3	F	Matthew Angell	11X272	7.4	Globe School for Environmental Research	D	11	EMS	Middle	D	14.6	3.9	F
2.35	12.0	A	25.0	A	Bruce Abramowitz	11X275	42.2	High School of Computers and Technology	A	11	HS	High School	C	87.5	8.3	A
2.45	1.5	A	5.7	D	Adrienne Phifer	11X287	31.9	The Forward School	B	11	EMS	Middle	B	46.5	7.4	B
2.81	6.0	A	17.2	B	Estelle Hans	11X288	40.5	Collegiate Institute for Math and Science	A	11	HS	High School	A	74.3	10.6	B
2.62	1.5	B	6.4	D	Jeanette Vargas	11X289	23.7	The Young Scholars Academy of The Bronx	C	11	EMS	Middle	D	34.5	2.9	C
2.11	9.0	A	16.0	B	Marvia Lindsay	11X290	49.5	Bronx Academy of Health Careers	A	11	HS	High School	A	85.3	10.8	A
2.17	1.5	A	18.5	A	Rose C. Lobianco	11X299	36.3	Astor Collegiate Academy	B	11	HS	High School	A	67.1	10.8	B
2.80	1.5	B	6.0	D	Steven Cobb	11X322	21.8	Aspire Preparatory Middle School	C	11	EMS	Middle	D	32.6	3.3	C
2.64	1.0	D	4.2	D	Emily Becker	11X326	23.2	Bronx Green Middle School	C	11	EMS	Middle	D	31.9	3.5	C
2.55	0.0	A	4.1	D	John Scalice	11X370	6.0	School of Diplomacy	C	11	EMS	Middle	F	10.1	0.0	F
1.62	0.0	D	9.0	F	Lisa Fuentes	11X415	23.7	Christopher Columbus High School	D	11	HS	High School	B	41.8	9.1	F
""	4.5		14.8	B	Ruth Colton	11X417	32.5	C Columbus Hs YABC	B	11	YABC	YABC	A	65.1	13.3	B
2.31	1.5	B	17.1	B	George York	11X418	30.8	Bronx High School for the Visual Arts	B	11	HS	High School	B	59.7	10.3	C
1.71	4.5	B	19.3	A	Sana Nasser	11X455	36.2	Harry S Truman High School	B	11	HS	High School	B	69.5	9.5	B
""	6.0		24.9	A	David Martin	11X456	41.6	Learning To Work YABC At Truman High School	A	11	YABC	YABC	B	81.1	8.6	A
2.68					Jamaal Bowman	11X462		CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA)		11	EMS	Middle				
2.68					Anthony Rivera	11X468		PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT		11	EMS	Middle				
2.19	6.0	A	23.1	A	Fausto Salazar	11X513	45.8	New World High School	A	11	HS	High School	A	85.6	10.7	A
1.93	0.0	B	17.6	A	Janet Gallardo	11X514	30.7	The Bronxwood Preparatory Academy	B	11	HS	High School	A	60.1	11.8	C
2.00	0.0	C	10.3	D	Michelle W. Joseph	11X541	31.9	Global Enterprise High School	C	11	HS	High School	B	51.8	9.6	C
2.63	6.0	A	19.4	A	Jane Aronoff	11X542	36.0	Pelham Preparatory Academy	A	11	HS	High School	B	70.8	9.4	B
1.99	4.5	A	23.1	A	Francisco Sanchez	11X544	44.5	High School for Contemporary Arts	A	11	HS	High School	A	86.5	14.4	A
2.03	10.5	A	25.0	A	Barbara Kirkweg	11X545	49.9	Bronx Aerospace High School	A	11	HS	High School	C	93.8	8.4	A
64.66	0.5	A	3.0	D	Darlene Mcwhales	12X006	18.2	P.S. 006 West Farms	C	12	EMS	Elementary	F	23.5	1.8	C
66.75	5.0	A	4.4	D	Mildred Jones	12X044	37.2	P.S. 044 David C. Farragut	B	12	EMS	Elementary	B	53.9	7.3	A
58.29	0.5	A	5.5	D	Thomas Guarnieri	12X047	9.6	P.S. 047 John Randolph	C	12	EMS	Elementary	A	26.2	10.6	F
69.29	0.8	B	1.6	D	Francisco Cruz	12X050	23.9	P.S. 050 Clara Barton	D	12	EMS	Elementary	F	26.3	0.0	C
62.22	3.0	A	8.8	C	Edsel Philip	12X057	29.0	P.S. 057 Crescent	B	12	EMS	Elementary	A	50.0	9.2	B
59.55	0.8	A	4.4	D	Patricia Quigley	12X061	15.8	P.S. 061 Francisco Oller	C	12	EMS	Elementary	A	31.7	10.7	D
65.24	2.3	A	7.5	C	Thomas Degrazia	12X066	30.2	P.S. 066 School of Higher Expectations	B	12	EMS	Elementary	A	51.0	11.0	B
64.50	1.5	A	6.4	C	Emily Grimball	12X067	19.4	P.S. 067 Mohegan School	C	12	EMS	Elementary	D	31.2	3.9	C
64.82	4.3	A	3.3	D	Manuel Antonio Estrella	12X092	38.2	P.S. 092 Bronx	B	12	EMS	Elementary	F	46.7	0.9	A
2.43	8.0	A	7.5	C	Claralee Irobunda	12X098	41.8	J.H.S. 098 Herman Ridder	A	12	EMS	Middle	B	64.6	7.3	A
62.32	0.0	B	1.2	F	Tanyua Trezevantte	12X102	28.5	P.S. 102 Joseph O. Loretan	C	12	EMS	Elementary	F	31.4	1.7	B
2.49	3.3	A	8.5	C	Yvette Beasley	12X129	35.0	P.S. 129 Twin Parks Upper	B	12	EMS	Middle	B	53.2	6.4	B
64.59	2.3	A	4.2	D	Kenneth Thomas	12X134	31.7	P.S. 134 George F. Bristow	B	12	EMS	Elementary	C	43.7	5.5	B
66.54	7.3	A	10.5	B	Edwin Irizarry	12X150	41.0	P.S. 150 Charles James Fox	A	12	EMS	Elementary	A	68.0	9.2	A
2.50	6.3	A	5.4	D	Dianajade Santiago	12X190	32.9	E.S.M.T- I.S. 190	B	12	EMS	Middle	B	52.8	8.2	B
62.42	2.3	A	3.2	D	Andrew Kavanagh	12X195	18.2	P.S. 195	C	12	EMS	Elementary	B	31.2	7.5	C
62.71	0.8	A	11.0	B	Lizzette Rivera	12X196	22.1	P.S. 196	B	12	EMS	Elementary	A	43.8	9.9	C
""					Judy Hunt-Hutchings	12X198		P.S. 198		12	EMS	Elementary				
69.99	9.0	A	6.0	D	Betty Gonzalez-Soto	12X211	51.1	P.S. 211	A	12	EMS	K-8	B	72.9	6.8	A
65.18	2.3	A	5.1	D	Yohan Lim	12X212	21.1	P.S. 212	C	12	EMS	K-8	B	36.9	8.4	C
60.02	2.3	A	7.2	C	David Cintron	12X214	34.5	P.S. 214	B	12	EMS	K-8	A	54.7	10.7	A
""					Domingo Martinez	12X216		Business School for Entrepreneurial Studies		12	EMS	Middle				
2.30	7.0	A	8.4	C	Seth Litt	12X217	44.1	School of Performing Arts	A	12	EMS	Middle	C	64.4	4.9	A
2.68	7.0	A	13.3	B	Peter Oroszlany	12X242	48.6	Mott Hall V	A	12	EMS	Middle	A	79.5	10.6	A
1.97	1.5	D	3.8	F	Mara Ganeles	12X245	12.5	New Day Academy	F	12	HS	High School	D	24.1	6.3	F
2.31	1.5	C	3.5	F	Mara Ganeles	12X245	26.8	New Day Academy	C	12	EMS	Middle	D	35.0	3.2	B
1.97	6.0	A	18.6	A	Carla Theodorou	12X248	52.5	Metropolitan High School, The	A	12	HS	High School	A	91.6	14.5	A
2.06	6.0	A	16.9	B	Susana Hernandez	12X251	48.3	Explorations Academy	A	12	HS	High School	B	80.1	8.9	A
1.89	0.0	C	9.4	F	John Tornifolio	12X262	19.9	Performance Conservatory High School	F	12	HS	High School	F	33.2	3.9	F
2.38					Leticia Pineiro	12X267		Bronx Latin		12	HS	High School				
2.25	11.0	A	11.8	B	Leticia Pineiro	12X267	56.0	Bronx Latin	A	12	EMS	Middle	B	87.0	8.2	A
1.95	7.5	A	17.6	A	Sarah Scrogin	12X271	34.1	East Bronx Academy for the Future	B	12	HS	High School	B	69.6	10.4	C
2.36	4.5	B	7.2	C	Sarah Scrogin	12X271	36.3	East Bronx Academy for the Future	B	12	EMS	Middle	B	54.7	6.7	B
2.56	2.3	A	9.0	C	Deborah Cimini	12X273	26.8	Frederick Douglass Academy V. Middle School	B	12	EMS	Middle	B	46.2	8.1	B
2.17	3.0	F	13.6	C	Andrew Turay	12X278	30.2	Peace and Diversity Academy	C	12	HS	High School	B	56.0	9.2	C
2.48	6.8	A	6.5	C	Lorraine Chanon	12X286	45.3	Fannie Lou Hamer Middle School	A	12	EMS	Middle	C	64.7	6.1	A
62.22	0.8	B	0.9	F	Venessa Singleton	12X300	27.4	The School of Science and Applied Learning	C	12	EMS	Elementary	B	36.0	6.9	B
2.64	8.3	A	11.3	B	Elisa Alvarez	12X316	45.1	Kappa III	A	12	EMS	Middle	A	75.7	11.0	A
2.39	1.3	A	5.1	D	Maria Lopez	12X318	22.2	I.S. X318 Math, Science & Technology Through Arts	C	12	EMS	Middle	C	34.2	5.6	C
2.32	7.5	A	6.7	C	Adrian Manuel	12X341	42.5	Accion Academy	A	12	EMS	Middle	B	64.4	7.7	A
2.79	0.5	A	3.3	F	Mark Ossenheimer	12X372	10.0	Urban Assembly School for Wildlife Conservation	C	12	EMS	Middle	C	19.5	5.7	F
2.41	6.0		6.8	C	Derick Spaulding	12X383	34.5	Emolior Academy	B	12	EMS	Middle	B	54.3	7.0	B
2.31	7.8		6.4	D	Socorro Diaz	12X384	42.6	Entrada Academy	A	12	EMS	Middle	A	69.1	12.3	A
1.78					Bridgit Claire Bye	12X388		Pan American International High School at Monroe		12	HS	High School				
""	0.0		7.8	F	Carmel Belizaire	12X428	28.6	Learning To Work YABC At Monroe Academy	C	12	YABC	YABC	A	48.1	11.7	C
3.18					Maryann Dickar	12X478		THE CINEMA SCHOOL		12	HS	High School				
2.45					Kizhaya Roberts	12X479		BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL		12	HS	High School				
2.13	3.0	A	12.8	C	Colin Thomas	12X480	31.4	Bronx Regional High School	B	12	HST	High School Transfer	A	57.9	10.7	C
2.09	1.5	A	23.8	A	Ramon Namnun	12X550	38.0	High School of World Cultures	A	12	HS	High School	A	76.5	13.2	B
""					Gloria Mcduffie	12X680		Bronx Coalition Community High School		12	HS	High School				
1.75	7.5	A	22.4	A	Nancy Mann	12X682	33.8	Fannie Lou Hamer Freedom High School	A	12	HS	High School	A	76.8	13.1	C
1.98	4.5	B	16.5	B	Wayne Cox	12X684	36.7	Wings Academy	B	12	HS	High School	B	66.4	8.7	B
1.91	0.0	D	11.7	D	Kabeya Mbuyi	12X690	30.8	Monroe Academy for Business/Law	C	12	HS	High School	D	49.0	6.5	C
57.38	0.0	A	3.9	D	Janice Gordon	12X691	19.7	Bronx Little School	C	12	EMS	Elementary	B	32.0	8.4	C
1.84	4.5	B	12.7	C	Richard J. Massel	12X692	47.7	Monroe Academy for Visual Arts & Design	A	12	HS	High School	C	72.9	8.0	A
50.94	0.5	A	5.2	D	Kristina Beecher	13K003	17.6	P.S. 003 The Bedford Village	C	13	EMS	Elementary	B	29.4	6.1	C
21.54	0.0	A	5.6	D	Seth Phillips	13K008	0.0	P.S. 008 Robert Fulton	C	13	EMS	Elementary	B	13.1	7.5	F
52.52	0.8	A	6.5	C	Sandra D'avilar	13K009	16.3	P.S. 009 Teunis G. Bergen	C	13	EMS	Elementary	B	30.7	7.1	D
46.54	1.5	A	8.4	C	Alonta Wrighton	13K011	33.0	P.S. 011 Purvis J. Behan	B	13	EMS	Elementary	B	49.5	6.6	B
47.83	0.0	A	0.0	F	L Barbera	13K020	16.3	P.S. 020 Clinton Hill	C	13	EMS	Elementary	B	22.9	6.6	D
56.98	2.8	A	8.1	C	Valerie Taylor	13K044	30.4	P.S. 044 Marcus Garvey	B	13	EMS	Elementary	B	48.8	7.5	B
63.37	8.8	A	5.2	D	Karyn Nicholson	13K046	44.8	P.S. 046 Edward C. Blum	A	13	EMS	Elementary	B	66.2	7.4	A
64.12	0.8	A	5.0	D	Lorna Khan	13K054	21.5	P.S. 054 Samuel C. Barnes	C	13	EMS	Elementary	C	32.8	5.5	C
60.17	0.8	C	5.9	C	Deborah Clark-Johnson	13K056	38.4	P.S. 056 Lewis H. Latimer	B	13	EMS	Elementary	A	54.0	8.9	A
61.95	0.0	A	2.4	D	Corinne Seabrook	13K067	26.0	P.S. 067 Charles A. Dorsey	C	13	EMS	Elementary	B	36.9	8.5	B
54.81	0.0	A	1.9	D	Sandra Philip	13K093	18.9	P.S. 093 William H. Prescott	C	13	EMS	Elementary	C	25.3	4.5	C
2.84	0.8	B	3.7	D	Kenyatte Reid	13K103	24.6	Satellite Three	C	13	EMS	Middle	B	36.3	7.2	C
2.80	0.0	A	7.0	C	Khalek Kirkland	13K113	20.8	M.S. 113 Ronald Edmonds Learning Center	C	13	EMS	Middle	C	32.7	4.9	C
59.36	0.0	A	6.6	C	Heather Foster-Mann	13K133	19.6	P.S. 133 William A. Butler	C	13	EMS	Elementary	B	34.6	8.4	C
56.33	0.0	A	6.9	C	Sharyn Hemphill	13K256	20.0	P.S. 256 Benjamin Banneker	C	13	EMS	Elementary	D	30.2	3.3	C
2.57	1.5	B	20.2	A	Paula Holmes	13K265	48.1	Dr. Susan S. McKinney Secondary School of the Arts	A	13	HS	High School	D	76.4	6.6	A
2.30	1.0	A	5.4	D	Paula Holmes	13K265	16.4	Dr. Susan S. McKinney Secondary School of the Arts	C	13	EMS	Middle	C	28.1	5.3	D
3.02	0.8	A	0.6	F	Michele Robinson	13K266	10.7	M.S. K266 - Park Place Community Middle School	C	13	EMS	Middle	C	17.8	5.7	F
61.47	4.3	A	18.4	A	Mitra Lutchman	13K270	57.8	P.S. 270 Johann DeKalb	A	13	EMS	Elementary	B	89.1	8.6	A
45.55	0.5	B	8.9	C	Magalie Alexis	13K282	27.4	P.S. 282 Park Slope	B	13	EMS	K-8	B	43.0	6.2	B
62.14	3.5	A	0.0	F	Ms. Michele Rawlins	13K287	46.2	P.S. 287 Bailey K. Ashford	B	13	EMS	Elementary	B	57.3	7.6	A
2.63	0.0	B	3.7	D	Kim Mcpherson	13K301	12.2	Satellite East Middle School	D	13	EMS	Middle	C	20.7	4.8	D
55.12	0.8	A	3.1	D	Dr. Julia Mortley	13K305	29.1	P.S. 305 Dr. Peter Ray	C	13	EMS	Elementary	C	38.0	5.0	B
64.04	1.8	A	0.1	F	Roberta Davenport	13K307	22.5	P.S. 307 Daniel Hale Williams	C	13	EMS	Elementary	B	31.2	6.8	C
2.38	0.8	B	8.5	C	Suzane Joseph	13K313	37.8	Satellite West Middle School	B	13	EMS	Middle	C	53.2	6.1	A
1.71					Clyde Cole	13K336		Academy of Business and Community Development		13	HS	High School				
2.41	0.0	B	4.4	D	Clyde Cole	13K336	17.1	Academy of Business and Community Development	D	13	EMS	Middle	F	22.6	1.1	D
2.25	1.5	B	18.4	A	Paul Thompson	13K350	36.8	Urban Assembly High School of Music and Art at Water's Edge	B	13	HS	High School	B	65.4	8.7	B
2.36	3.0		11.8	C	James O'Brien	13K412	31.6	Brooklyn Community High School of Communication, Arts and Media	C	13	HS	High School	B	56.0	9.6	C
2.48	6.0	D	16.0	B	Judy Henry	13K419	50.2	Science Skills Center High School at Water's Edge	A	13	HS	High School	C	80.5	8.3	A
3.81	0.0	A	18.0	A	Randy Asher	13K430	36.8	Brooklyn Technical High School	B	13	HS	High School	D	61.3	6.5	B
2.39	7.5	A	23.0	A	Pamela Taranto	13K439	58.2	Brooklyn International High School at Water's Edge	A	13	HS	High School	A	103.0	14.3	A
2.76	7.5	A	18.8	A	Shannon Curran	13K483	35.9	Urban Assembly School for Law and Justice, The	A	13	HS	High School	B	72.2	10.0	B
2.95	4.5	B	7.7	C	Allison Gaines Pell	13K492	24.7	Urban Assembly Academy of Arts and Letters	B	13	EMS	Middle	B	44.9	8.0	C
2.20	1.5	B	17.3	B	Andrea Lewis	13K499	47.0	ACORN Community High School	A	13	HS	High School	F	71.7	5.9	A
2.17	1.5	C	19.1	A	Alyson Forde	13K509	33.1	Freedom Academy High School	B	13	HS	High School	C	61.2	7.5	C
2.67					Kelly Demonaco And Kiri Soares	13K527		Urban Assembly Institute of Math and Science for Young Women		13	HS	High School				
3.16	0.0	C	0.0	F	Kelly Demonaco And Kiri Soares	13K527	10.6	Urban Assembly Institute of Math and Science for Young Women	D	13	EMS	Middle	B	19.5	8.9	F
2.13	3.0	A	19.6	A	Elaine Lindsey	13K553	42.4	Brooklyn Academy High School	A	13	HST	High School Transfer	A	76.5	11.5	A
2.20	0.8	B	2.4	F	Santosha Troutman	13K571	7.7	M.S. 571	D	13	EMS	Middle	F	11.8	0.9	F
2.47	1.5	A	12.6	C	Darryl Rascoe	13K575	36.5	Bedford Stuyvesant Preparatory High School	B	13	HST	High School Transfer	A	60.9	10.3	B
2.72	0.0	A	0.0	F	Beshir Abdellatif	13K592	7.6	Khalil Gibran International Academy	C	13	EMS	Middle	B	16.3	8.7	F
3.07	6.0	A	20.5	A	Adofo Muhammad	13K595	54.3	Bedford Academy High School	A	13	HS	High School	B	90.2	9.4	A
2.61	1.5	C	1.5	F	Rosa Smith-Norman	13K596	19.0	Knowledge and Power Preparatory Academy VII Middle School	D	13	EMS	Middle	D	25.0	3.0	C
2.25	0.0	B	11.0	D	Janine L. Kieran	13K605	27.4	George Westinghouse Career and Technical Education High School	D	13	HS	High School	C	45.6	7.2	D
2.27	0.0		14.6	B	Georgia Kouriampalis	13K616	28.6	Brooklyn High School for Leadership and Community Service	C	13	HST	High School Transfer	C	51.3	8.1	C
3.28	6.0	B	17.6	A	Majida Abdul-Karim	13K670	38.8	Benjamin Banneker Academy	B	13	HS	High School	D	68.8	6.4	B
2.59					Chris Aguirre	13K674		CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY		13	HS	High School				
60.54	0.0	A	2.1	D	Mary Renny	14K016	5.0	P.S. 016 Leonard Dunkly	C	14	EMS	Elementary	B	13.9	6.8	F
60.97	7.8	A	9.4	C	Dr. Robert Marchi	14K017	37.5	P.S. 017 Henry D. Woodworth	A	14	EMS	Elementary	B	60.9	6.2	A
59.36	1.5	B	7.0	C	Karen Ford	14K018	34.2	P.S. 018 Edward Bush	B	14	EMS	Elementary	A	52.1	9.4	B
60.27	0.0	B	0.0	F	Maria Witherspoon	14K019	17.0	P.S. 019 Roberto Clemente	D	14	EMS	Elementary	A	27.2	10.2	D
64.18	5.3	A	4.7	D	Sharon Meade	14K023	35.2	P.S. 023 Carter G. Woodson	A	14	EMS	Elementary	A	59.0	13.8	A
40.14	3.0	A	22.7	A	Mary J. Scarlato	14K031	60.0	P.S. 031 Samuel F. Dupont	A	14	EMS	Elementary	A	97.4	11.7	A
30.81	2.5	A	12.2	B	Alicja Winnicki	14K034	29.3	P.S. 034 Oliver H. Perry	B	14	EMS	Elementary	A	57.1	13.1	B
2.32	3.3	A	5.8	D	Denise Jamison	14K050	31.0	J.H.S. 050 John D. Wells	B	14	EMS	Middle	C	45.0	4.9	B
61.93	0.0	A	0.6	F	Dawn Best	14K059	5.7	P.S. 059 William Floyd	C	14	EMS	Elementary	C	12.1	5.8	F
1.89	0.0	C	14.8	B	Howard Fineman	14K071	33.1	Juan Morel Campos Secondary School	C	14	HS	High School	B	57.6	9.7	C
2.26	4.3	A	6.4	D	Howard Fineman	14K071	33.2	Juan Morel Campos Secondary School	B	14	EMS	Middle	B	50.4	6.5	B
61.40	0.0	A	0.9	F	Sereida Rodriguez	14K084	17.1	P.S. 084 Jose De Diego	C	14	EMS	Elementary	A	27.5	9.5	D
35.10	0.0	A	8.0	C	Anna Cano Amato	14K110	11.0	P.S. 110 The Monitor	C	14	EMS	Elementary	A	28.8	9.8	F
64.19	0.0	A	3.1	D	Liza Caraballo	14K120	19.8	P.S. 120 Carlos Tapia	C	14	EMS	Elementary	A	35.6	12.7	C
2.30	1.8	B	5.1	D	Rosemary Ochoa	14K126	31.3	John Ericsson Middle School 126	B	14	EMS	Middle	C	44.1	5.9	B
44.67	1.5	A	9.8	C	Beth Lubeck-Ceffalia	14K132	26.1	P.S. 132 The Conselyea School	B	14	EMS	Elementary	A	47.7	10.3	B
64.17	3.0	B	6.7	C	Julia Disalvo-Drake	14K147	43.1	P.S. 147 Isaac Remsen	A	14	EMS	Elementary	A	63.7	10.9	A
65.03	4.3	A	6.2	C	Maribel Torres	14K157	27.7	P.S. 157 Benjamin Franklin	B	14	EMS	Elementary	A	50.1	11.9	B
61.46	7.8	A	14.2	B	Janine Colon	14K196	29.2	P.S. 196 Ten Eyck	A	14	EMS	Elementary	A	62.5	11.3	B
50.61	0.0	A	8.4	C	Nora Barnes	14K250	24.5	P.S. 250 George H. Lindsay	B	14	EMS	Elementary	A	42.1	9.2	B
64.51	5.3	A	10.8	B	Brian Leavy-Devale	14K257	43.5	P.S. 257 John F. Hylan	A	14	EMS	Elementary	A	72.3	12.7	A
62.82	2.3	B	1.5	F	James Brown	14K297	24.6	P.S. 297 Abraham Stockton	C	14	EMS	Elementary	B	36.1	7.7	B
3.27	1.8	A	4.6	D	Fortunato Rubino	14K318	13.6	I.S. 318 Eugenio Maria De Hostos	C	14	EMS	Middle	A	30.6	10.6	D
2.06	0.0	C	19.0	A	Gary Beidleman	14K322	40.9	Foundations Academy	B	14	HS	High School	D	66.7	6.8	B
2.38	0.0	A	6.2	D	Kourtney Boyd	14K330	28.4	The Urban Assembly School for the Urban Environment	C	14	EMS	Middle	B	41.5	6.9	B
59.38	10.8	A	18.3	A	Diane Vitolo	14K380	48.8	P.S. 380 John Wayne Elementary	A	14	EMS	Elementary	A	92.9	15.0	A
2.51	4.5		19.6	A	Carolyn Yaffe	14K404	38.8	Academy for Young Writers	A	14	HS	High School	B	72.1	9.2	B
3.63	0.0		19.1	A	Jason Griffiths	14K449	30.4	Brooklyn Latin School, The	B	14	HS	High School	A	60.2	10.7	C
2.30	1.5		11.6	D	Karali Pitzele	14K454	26.6	Green School: An Academy for Environmental Careers	C	14	HS	High School	C	47.0	7.3	D
2.43	6.0	B	11.7	D	William Jusino	14K474	33.8	PROGRESS High School for Professional Careers	B	14	HS	High School	D	58.1	6.6	C
2.53	1.5	D	8.0	F	Monica Ortiz	14K477	27.4	School for Legal Studies	D	14	HS	High School	F	40.7	3.8	D
2.54	13.5	A	25.0	A	Juan S. Mendez	14K478	41.4	The High School for Enterprise, Business and Technology	A	14	HS	High School	B	88.7	8.8	B
2.41	7.5	A	22.9	A	Janet Ruth Price	14K488	33.1	Brooklyn Preparatory High School	A	14	HS	High School	A	74.1	10.6	C
2.45	10.5	A	17.1	B	Gill Cornell	14K558	60.0	Williamsburg High School for Architecture and Design	A	14	HS	High School	A	100.2	12.6	A
2.64	9.0	A	20.9	A	Kathleen Elvin	14K561	58.7	Williamsburg Preparatory School	A	14	HS	High School	A	101.7	13.1	A
2.99	4.8	A	8.0	C	Maria Masullo	14K577	24.7	Conselyea Preparatory School	B	14	EMS	Middle	A	48.6	11.1	C
2.59	5.3	A	9.2	C	Brian Walsh	14K582	32.1	M.S. 582	B	14	EMS	Middle	B	53.2	6.6	B
2.30					Taeko Onishi	14K586		Lyons Community School		14	HS	High School				
2.51	0.0	A	0.6	F	Taeko Onishi	14K586	7.3	Lyons Community School	C	14	EMS	Middle	B	14.3	6.4	F
2.02	3.0	B	14.0	C	Mary Brouder	14K610	29.6	Automotive High School	C	14	HS	High School	F	52.5	5.9	C
2.54	1.5		5.8	D	Talana Bradley	14K614	20.7	Young Women's Leadership School of Brooklyn	C	14	EMS	Middle	A	38.0	10.0	C
1.91					Javier Guzman	14K632		Frances Perkins Academy		14	HS	High School				
2.09	7.5	A	18.5	A	Hector Calderon	14K685	53.6	El Puente Academy for Peace and Justice	A	14	HS	High School	A	92.6	13.0	A
""	4.5		13.3	B	David Decamp	14K923	36.0	Automotive High School YABC	B	14	YABC	YABC	B	63.0	9.2	B
60.68	0.5	A	8.1	C	Zaida Vega	15K001	19.3	P.S. 001 The Bergen	C	15	EMS	Elementary	A	36.9	9.0	C
45.88	6.5	A	9.8	C	Laura Scott	15K010	31.8	Magnet School of Math, Science and Design Technology	A	15	EMS	Elementary	A	58.8	10.7	B
66.33	10.3	A	13.1	B	Peggy Wyns-Madison	15K015	42.7	P.S. 015 Patrick F. Daly	A	15	EMS	Elementary	A	76.8	10.7	A
65.46	0.8	A	4.3	D	Christina Fuentes	15K024	26.1	P.S. 024	C	15	EMS	Elementary	A	40.1	8.9	B
""					Winston Hamann	15K027		Agnes Y. Humphrey School for Leadership		15	EMS	K-8				
20.71	5.0	A	11.0	B	Melanie Raneri Woods	15K029	35.0	P.S. 029 John M. Harrigan	A	15	EMS	Elementary	B	59.0	8.0	B
60.99	6.3	A	8.9	C	Deborah Ann Florio	15K032	38.2	P.S. 032 Samuels Mills Sprole	A	15	EMS	Elementary	A	62.6	9.2	A
51.10	1.3	A	5.4	D	Yolanda Ramirez	15K038	16.7	P.S. 038 The Pacific	C	15	EMS	Elementary	D	27.5	4.1	D
28.18	2.8	A	7.5	C	Anita De Paz	15K039	34.3	P.S. 039 Henry Bristow	B	15	EMS	Elementary	B	52.5	7.9	B
3.48	8.0	A	13.5	B	Lenore Berner	15K051	35.3	M.S. 51 William Alexander	A	15	EMS	Middle	B	65.9	9.1	B
20.61	7.0	A	4.9	D	Giselle Mcgee	15K058	40.5	P.S. 058 The Carroll	A	15	EMS	Elementary	B	61.0	8.6	A
2.54	4.0	A	9.9	C	Ailene Altman Mitchell	15K088	29.8	J.H.S. 088 Peter Rouget	B	15	EMS	Middle	B	52.3	8.6	B
49.23	1.5	A	6.6	C	Janette Caban	15K094	31.9	P.S. 094 The Henry Longfellow	B	15	EMS	Elementary	C	45.4	5.4	B
