site_name	program_type	location_1/latitude	location_1/human_address/address	location_1/human_address/city	location_1/human_address/state	location_1/human_address/zip	location_1/longitude	agency	borough_community	program	grade_level_age_group	contact_number
St. Andrews Senior Housing	NDA Programs,Senior Programs,Older Adult Program	40.8223487885949	2155 Virgil Place	Bronx	NEW YORK	10473	-73.85023957560342	Vannguard Urban Improvement Association, Inc.	Bronx	Seniors	Seniors	(718) 542-0006
St. Luke's	NDA Programs,Senior Programs,Older Adult Program	40.885144265015896	3911 Barnes Avenue	Bronx	NEW YORK	10466	-73.85860615419493	Variety Boys & Girls Club of Queens	Bronx	Seniors	Seniors	(718) 542-0006
Filomena Gardens	NDA Programs,Senior Programs,Older Adult Program	40.888362327283964	641 225th Street	Bronx	NEW YORK	10466	-73.86213681347961	WHIC	Bronx	Seniors	Seniors	(718) 542-0006
Mercy House	NDA Programs,Senior Programs,Older Adult Program	40.89360386428615	4170 Carpenter Avenue	Bronx	NEW YORK	10466	-73.86061453248679	Tompkins Park Senior Center	Bronx	Seniors	Seniors	(718) 542-0006
Mercy House	NDA Programs,Senior Programs,Older Adult Program	40.89323716441264	644 232nd Street	Bronx	NEW YORK	10466	-73.8593315590994	Boulevard Houses Senior Center	Bronx	Seniors	Seniors	(718) 542-0006
R.A.I.N. Eastchester Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.87112164287507	1236 Burke Avenue	Bronx	NEW YORK	10469	-73.85141711468704	Mt. Ararat Presentation Senior Center	Bronx	Seniors	Seniors	(718) 829-5520
RAIN Boston Secor Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.882386465793324	3450 Bivona Street	Bronx	NEW YORK	10475	-73.8329260272584	WEME/Mainstream Meals-on-Wheels	Bronx	Seniors	Seniors	(718) 829-5520
Riverdale Senior Services	NDA Programs,Senior Programs,Older Adult Program	40.878840739419545	2600 Netherland Avenue	Bronx	NEW YORK	10463	-73.91675947741456	Columbus -Amsterdam Business Improvement District	Bronx	Seniors	Seniors	(718) 884-5900
Riverstone Senior Life Services, Inc.	NDA Programs,Senior Programs,Older Adult Program	40.8390432578193	99 Fort Washington Avenue	New York	NEW YORK	10032	-73.94352276206791	Yeled V Yalda Community Center	New York	Seniors	Seniors	(212) 927-5600
United Jewish Orgnization of Williamsburg	NDA Programs,Senior Programs,Older Adult Program	40.700237529080596	32 Penn Street	Brooklyn	NEW YORK	11211	-73.96128945870423	BROOKLYN EXCELSIOR CHARTER (K731)	Brooklyn	Seniors	Seniors	(718) 643-9700
Tompkins Park Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.688662422549285	550 Greene Avenue	Brooklyn	NEW YORK	11216	-73.94865379650403	Queens Gateway to Health and Sciences Secondary School	Brooklyn	Seniors	Seniors	(718) 345-5665
Boulevard Houses Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.66016058397117	726 Stanley Avenue	Brooklyn	NEW YORK	11207	-73.88202347082921	YMPJ	Brooklyn	Seniors	Seniors	(718) 345-5665
Mt. Ararat Presentation Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.67315630349029	1630 St Marks Avenue	Brooklyn	NEW YORK	11233	-73.9128289342227	YWCA of Queens	Brooklyn	Seniors	Seniors	(718) 345-5665
Fortune Society	Family Support,NDA Programs	40.74570244980828	29 76 Northern Blvd	Queens	NEW YORK	11101	-73.93866902925225	The Fortune Society, Inc.	Queens	Fatherhood Initiative	16 to 24	347.510.3619
The Fathers Center	Family Support,NDA Programs	40.71696029234187	350 Broadway	New York	NEW YORK	10013	-74.00392122955571	Legal Information for Families Today (LIFT)	New York	Fatherhood Initiative	16 to 24	646.613.9633 ext. 202
Friends of the Island Academy	Family Support,NDA Programs	40.755442281975604	330 38th Street	New York	NEW YORK	10018	-73.99338117537229	Friends of Island Academy	New York	Fatherhood Initiative	16 to 24	212.760.0755
Midtown Community Court	Family Support,NDA Programs	40.76519093277318	314 54 Street	New York	NEW YORK	10019	-73.98524231100714	Fund for the City of New York/Center for Court Innovation	New York	Fatherhood Initiative	16 to 24	646.264.1329
Neighborhood Defender Service of Harlem	Family Support,NDA Programs	40.8084771781372	317 Lenox Avenue	New York	NEW YORK	10027	-73.94510035450739	Neighborhood Defender Service of Harlem	New York	Fatherhood Initiative	16 to 24	212.876.5500
Oberia Dempsey Center	Family Support,NDA Programs	40.80943881923591	127 127th	New York	NEW YORK	10027	-73.94534192638868	The Northern Manhattan Perinatal Partnership Inc.	New York	Fatherhood Initiative	16 to 24	212.665.2600
Washington Houses Community Center	Family Support,NDA Programs	40.78992458809426	237 104th Street	New York	NEW YORK	10029	-73.94476913120286	Union Settlement Association	New York	Fatherhood Initiative	16 to 24	212.828.6113
Strive/East Harlem Employment Service, Inc.	Family Support,NDA Programs	40.801631007365245	240 123rd Street	New York	NEW YORK	10035	-73.9350355660456	East Harlem Employment Services, Inc.	New York	Fatherhood Initiative	16 to 24	212.360.1100
The New York Society for the Prevention of Cruelty to Children	Family Support,NDA Programs	40.70999953983505	161 William Street	New York	NEW YORK	10038	-74.00601664988397	The New York Society for the Prevention of Cruelty to Children	New York	Fatherhood Initiative	16 to 24	212.233.5500
Parkside Houses	Family Support,NDA Programs	40.86817216465264	2910 Bronx Park	Bronx	NEW YORK	10467	-73.87044025446647	Friends of Island Academy	Bronx	Fatherhood Initiative	16 to 24	718.653.5301
FRIENDS Program	Family Support,NDA Programs	40.813535754971156	389 391 East 153rd Street	Bronx	NEW YORK	10455	-73.9053552520432	Visiting Nurse Service of New York	Bronx	Fatherhood Initiative	16 to 24	212.794.9200
Claremont Neighborhood Centers, Inc.	Family Support,NDA Programs	40.83300943887456	489 169th Street	Bronx	NEW YORK	10456	-73.90573521731622	Claremont Neighborhood Centers, Inc.	Bronx	Fatherhood Initiative	16 to 24	718.588.1000
Nursing Family Partnership	Family Support,NDA Programs	40.805846930091775	489 491 East 153 Street	Bronx	NEW YORK	10454	-73.91628504651766	Visiting Nurse Service of New York	Bronx	Fatherhood Initiative	16 to 24	718.402.3900
Family and Community Support Services	Family Support,NDA Programs	40.67752593238575	124 Utica	Brooklyn	NEW YORK	11233	-73.93033516817815	Family and Community Support Services	Brooklyn	Fatherhood Initiative	16 to 24	347.879.3367
Ralph Lincoln Service Center	Family Support,NDA Programs	40.67003864096985	261 Buffalo Avenue	Brooklyn	NEW YORK	11213	-73.92540014432034	Ralph Lincoln Service Center, Inc.	Brooklyn	Fatherhood Initiative	16 to 24	718.604.1358
Project Bridge	Family Support,NDA Programs	40.70259055255882	52 Wilson Avenue	Brooklyn	NEW YORK	11237	-73.9290890577379	Catholic Charities Neighborhood Services, Inc.	Brooklyn	Fatherhood Initiative	16 to 24	718.628.1905
Coalition for Hispanic Family Services	Family Support,NDA Programs	40.700089964438455	315 Wyckoff Avenue	Brooklyn	NEW YORK	11237	-73.91203291222284	Coalition for Hispanic Family Services	Brooklyn	Fatherhood Initiative	16 to 24	718.497.6090
Forestdale at Forest Hills Campus	Family Support,NDA Programs	40.720707263029794	67 35 112 Street	Queens	NEW YORK	11375	-73.84628429608335	Forestdale, Inc	Queens	Fatherhood Initiative	16 to 24	718.263.0740
Allen AME Multi-Center (Annex)	Family Support,NDA Programs	40.6769452621142	1114 02	Queens	NEW YORK	11434	-73.77530690169215	Forestdale, Inc	Queens	Fatherhood Initiative	16 to 24	718.263.0740
The Children's Aid Society	Family Support,NDA Programs	40.83246290693709	1338 Southern Blvd	Bronx	NEW YORK	10460	-73.89070580726401	The Children's Aid Society	Bronx	Health Stat Initiative	All Ages	718.617.8595
The East New York Learning Center, Inc	Family Support,NDA Programs	40.67813043816926	1958 Fulton&#65533; St	Brooklyn	NEW YORK	11233	-73.91977647550391	The East New York Learning Center, Inc	Brooklyn	Health Stat Initiative	All Ages	718.756.7200
Make the Road New York	Family Support,NDA Programs	40.698428502523264	301 Grove St	Brooklyn	NEW YORK	11237	-73.91562347499381	Make the Road New York	Brooklyn	Health Stat Initiative	All Ages	718.418.7690
The Children's Aid Society	Family Support,NDA Programs	40.75294216673416	150 45th St	New York	NEW YORK	10017	-73.9736410568292	The Children's Aid Society	New York	Health Stat Initiative	All Ages	212.503.6820
Northern Manhattan Improvement Corporation	Family Support,NDA Programs	40.84705167605878	76 Wadsworth Ave	New York	NEW YORK	10033	-73.93704472494271	Northern Manhattan Improvement Corporation	New York	Health Stat Initiative	All Ages	212.822.8344
Asian Americans for Equality	Family Support,NDA Programs	40.76862022064671	133 04 39th Ave	Queens	NEW YORK	11354	-73.82719028070687	Asian Americans for Equality	Queens	Health Stat Initiative	All Ages	718.961.0888
Asian Americans for Equality	Family Support,NDA Programs	40.75163073936716	95 05 Roosevelt Ave	Queens	NEW YORK	11372	-73.88361254528269	Asian Americans for Equality	Queens	Health Stat Initiative	All Ages	718.961.0888
Make the Road New York	Family Support,NDA Programs	40.63093452909704	479 Port Richmond Ave	Staten Island	NEW YORK	10302	-74.13901464968129	Make the Road New York	Staten Island	Health Stat Initiative	All Ages	347.547.5133
New York Legal Assistance Group (NYLAG)	Immigration Services,Immigrant Support Services	40.75347794565972	450 33rd St	Manhattan	NEW YORK	10001	-73.99864692871675	New York Legal Assistance Group (NYLAG)	Manhattan	Domestic Violence Program	All Ages	212.613.5000
Jewish Board of Family and Children Services (JBFCS)-Genesis	Immigration Services,Immigrant Support Services	40.756840774582145	594 Manhattan	NEW YORK		10018	-73.99669149981281	New York Legal Assistance Group (NYLAG)	Manhattan	Domestic Violence Program	Adult	212.613.5098
Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training	Immigration Services,Immigrant Support Services	40.859547368357966	750 Astor Avenue	Bronx	NEW YORK	10467	-73.86555918636485	New York Legal Assistance Group (NYLAG)	Bronx	Domestic Violence Program	Adult	212.613.5098
Jewish Board of Family and Children Services - Horizons	Immigration Services,Immigrant Support Services	40.70191201682616	060280 Brooklyn	NEW YORK		11206	-73.94237919854112	New York Legal Assistance Group (NYLAG)	Brooklyn	Domestic Violence Program	Adult	212.613.5098
Edith and Carl Marks Jewish Community House of Bensonhurst	Immigration Services,Immigrant Support Services	40.606424326705934	7802 Bay Parkway	Brooklyn	NEW YORK	11214	-73.98919274272059	New York Legal Assistance Group (NYLAG)	Brooklyn	Domestic Violence Program	All Ages	212.613.5000
Jewish Board of Family and Children Services  - Transition Center	Immigration Services,Immigrant Support Services	40.600614338480966	629 Far	Queens	NEW YORK	11691	-73.76256777468302	New York Legal Assistance Group (NYLAG)	Queens	Domestic Violence Program	Adult	212.613.5098
CONNECT	Immigration Services,Immigrant Support Services	40.74552271604756	3 29th Street	Manhattan	NEW YORK	10001	-73.987242979944	Safe Space	Manhattan	Domestic Violence Program	All Ages	212.206.3440 ext. 237
The Child Center of NY \uFFFD WIA Office	Immigration Services,Immigrant Support Services	40.71311535449007	163 18 Jamaica Av	Jamaica	NEW YORK	11432	-73.79282099978928	Safe Space	Jamaica	Domestic Violence Program	All Ages	212.206.3440 ext. 237
Safe Space - Family Resource Center (Jamaica)	Immigration Services,Immigrant Support Services	40.71311535449007	90 25 161st Street	Queens	NEW YORK	11432	-73.79282099978928	Safe Space	Queens	Domestic Violence Program	All Ages	718.785.9062
Sanctuary for Families	Immigration Services,Immigrant Support Services	40.70545300025583	1406 Wall Street Station	Manhattan	NEW YORK	10268	-74.00695600011926	Sanctuary for Families	Manhattan	Domestic Violence Program	All Ages	212.349.6009
Sanctuary for Families, Inc. (Manhattan)	Immigration Services,Immigrant Support Services							Sanctuary for Families, Inc.	Manhattan,Bronx,Queens,Staten Island, Brooklyn	Legal Services	All Ages	212.349.6009           ext. 264
Family Justice Centers in Queens and Brooklyn	Immigration Services,Immigrant Support Services							Sanctuary for Families, Inc.	Manhattan,Bronx,Queens,Staten Island, Brooklyn	Legal Services	All Ages	212.349.6009           ext. 264
Shorefront Y	Immigration Services,Immigrant Support Services	40.575793969703795	3300 Coney Island Av	Brooklyn	NEW YORK	11235	-73.95950745079742	New York Legal Assistance Group (NYLAG)	Brooklyn	Domestic Violence Program	Adult	212.613.5000
Shorefront YM-YWHA	Immigration Services,Immigrant Support Services	40.575793969703795	3300 Coney Island Av	Brooklyn	NEW YORK	11235	-73.95950745079742	New York Legal Assistance Group (NYLAG)	Brooklyn	Domestic Violence Program	All Ages	718-646-1444
Kensington Self-Help	Immigration Services,Immigrant Support Services	40.64409707953028	419 Church Ave	Brooklyn	NEW YORK	11218	-73.97640972645803	New York Legal Assistance Group (NYLAG)	Brooklyn	Domestic Violence Program	All Ages	212-613-5000
Queens Jewish Community Council	Immigration Services,Immigrant Support Services	40.720707263029794	119 45 Union Turnpike	Forest Hills	NEW YORK	11375	-73.84628429608335	New York Legal Assistance Group (NYLAG)	Forest Hills	Domestic Violence Program	All Ages	212-613-5000
Mercy Center	Immigration Services,Immigrant Support Services	40.81385583017525	377 145th St	Bronx	NEW YORK	10454	-73.92035529273	New York Legal Assistance Group (NYLAG)	Bronx	Domestic Violence Program	All Ages	212-613-5000
Bronx Neighborhood Office, Legal Aid Society	Immigration Services,Immigrant Support Services	40.82138697876596	953 Southern Blvd	Bronx	NEW YORK	10459	-73.89168233735057	The Legal Aid Society	Bronx	Domestic Violence Program	Adult	718.991.4758
Brooklyn Neighborhood Office, Legal Aid Society	Immigration Services,Immigrant Support Services	40.69109687573092	111 Livingston St	Brooklyn	NEW YORK	11201	-73.98955322065659	The Legal Aid Society	Brooklyn	Domestic Violence Program	Adult	718.422.2765
CAMBA	Immigration Services,Immigrant Support Services	40.65044686678422	2211 Church Av	Brooklyn	NEW YORK	11226	-73.95854532388019	CAMBA, Inc.	Brooklyn	Legal Assistance Program	All Ages	718-940-6311
Catholic Charities Community Service, Archdiocese of N Y	Immigration Services,Immigrant Support Services	40.7572783324888	1011 First Avenue	Manhattan	NEW YORK	10022	-73.96371387829234	Catholic Charities Community Service, Archdiocese of N Y	Manhattan	Legal Assistance Program	All Ages	212-419-3700
Tolentine -Zeiser Community Life Center/ St, Rita	Immigration Services,Immigrant Support Services,NDA Programs	40.869693003729196	2342 Andrews Av (near Fordham Rd	Bronx	NEW YORK	10468	-73.89892699248668	Catholic Charities Community Service, Archdiocese of N Y	Bronx	NDA Immigrants	Adult	718-365-4360
St.Cecilia's Community Center	Immigration Services,Immigrant Support Services	40.79190439287778	125 105th Street	Manhattan	NEW YORK	10029	-73.9475075400997	Catholic Charities Community Service, Archdiocese of N Y	Manhattan	Legal Assistance Program	All Ages	212-348-0488
Washington Heights Ecumenical Food Pantry (WHEFP)	Immigration Services,Immigrant Support Services	40.845160338750205	4111 Broadway	Manhattan	NEW YORK	10033	-73.93878884162382	Catholic Charities Community Service, Archdiocese of N Y	Manhattan	Legal Assistance Program	All Ages	212-419-3700
El Centro de Hospitalidad	Immigration Services,Immigrant Support Services	40.63589249589933	1546 Castleton Avenue	Staten Island	NEW YORK	10302	-74.13449607767508	Catholic Charities Community Service, Archdiocese of N Y	Staten Island	Legal Assistance Program	All Ages	718-420-6466 646-772-0096
Citizens Advice Bureau - Immigration Assistance Center	Immigration Services,Immigrant Support Services	40.85309059209145	2070 Grand Concourse	Bronx	NEW YORK	10457	-73.90280877587541	Citizens Advice Bureau	Bronx	Legal Assistance Program	All Ages	718- 293-0727
Citizens Advice Bureau - Immigration Assistance Center	Immigration Services,Immigrant Support Services,NDA Programs	40.841513488175195	1477 Townsend Ave	Bronx	NEW YORK	10452	-73.9156620372896	Citizens Advice Bureau	Bronx	NDA Immigrants	All Ages	718-365-0910
Northern Manhattan Improvement Corporation (NMIC)	Immigration Services,Immigrant Support Services	40.84705167605878	76 Wadsworth Avenue	Manhattan	NEW YORK	10033	-73.93704472494271	Northern Manhattan              Improvement Corporation	Manhattan	Legal Assistance Program	All Ages	212-822-8319
Chinese Consolidated Benevolent Asociation of New York	Immigration Services,Immigrant Support Services	40.71607633471377	62 Mott St	Manhattan	NEW YORK	10013	-73.9981586658295	Northern Manhattan   Improvement Corporation	Manhattan	Legal Assistance Program	All Ages	212-822-8319
York College Immigration     Center \uFFFD CUNY	Immigration Services,Immigrant Support Services	40.70259499975947	20 Guy R Brewer Blvd	Queens	NEW YORK	11451	-73.79562300040112	Research Foundation of CUNY	Queens	Legal Assistance Program	All Ages	718-262-2983
Flushing Immigration Center - CUNY	Immigration Services,Immigrant Support Services	40.76862022064671	39 07 Prince St	Queens	NEW YORK	11354	-73.82719028070687	Research Foundation of CUNY	Queens	Legal Assistance Program	All Ages	718-640-9223
LaGuardia Community College Immigration Center - CUNY	Immigration Services,Immigrant Support Services	40.74570244980828	166 Queens	NEW YORK		11101	-73.93866902925225	Research Foundation of CUNY	Queens	Legal Assistance Program	All Ages	718-482-5139
Safe Horizon - Immigration Law Project	Immigration Services,Immigrant Support Services							Safe Horizon, Inc.	Manhattan,Bronx,Queens,Staten Island, Brooklyn	Legal Assistance Program	All Ages	
Center for Battered Women	Immigration Services,Immigrant Support Services	40.70545300025583	1406 Wall Street Station	Manhattan	NEW YORK	10268	-74.00695600011926	Sanctuary for Families	Manhattan	Legal Assistance Program	All Ages	212-349-6009
Queens Family Justice Center	Immigration Services,Immigrant Support Services	40.708286075142325	126 02 82nd Ave	Kew Gardens	NEW YORK	11415	-73.82855612156771	Sanctuary for Families	Kew Gardens	Legal Assistance Program	All Ages	212-349-6009
Family Justice Center	Immigration Services,Immigrant Support Services	40.69351957615995	350 Jay Street	Brooklyn	NEW YORK	11201	-73.98726442001791	Sanctuary for Families	Brooklyn	Legal Assistance Program	All Ages	212-349-6009
The Lower Manhattan Neighborhood Office	Immigration Services,Immigrant Support Services	40.70708573646016	199 Water Street	Manhattan	NEW YORK	10038	-74.00463169395886	The Legal Aid Society	Manhattan	Legal Assistance Program	All Ages	212-577-3292
Crown Heights Community Mediation	Immigration Services,Immigrant Support Services	40.67079925857397	256 Kingston Avenue	Brooklyn	NEW YORK	11213	-73.94209318254946	The Legal Aid Society	Brooklyn	Legal Assistance Program	All Ages	212-577-3292
Queens Community House	Immigration Services,Immigrant Support Services	40.720707263029794	108 25 62nd Drive	Queens	NEW YORK	11375	-73.84628429608335	The Legal Aid Society	Queens	Legal Assistance Program	All Ages	212-577-3292
The Door	Immigration Services,Immigrant Support Services	40.72398399739069	121 6th Avenue	Manhattan	NEW YORK	10013	-74.00464968039944	The Door - A Center of Alternatives	Manhattan	Legal Services - Immigrant Youth	5-20	212-941-9090 ext. 3280
Legal Aid - Juvenile Rights Division	Immigration Services,Immigrant Support Services	40.70708573646016	199 Water Street	Manhattan	NEW YORK	10038	-74.00463169395886	The Legal Aid Society	Manhattan	Legal Services - Immigrant Youth	5-20	212.577.3328
Urban Justice Center at the Hetrick Martin Institute	Immigration Services,Immigrant Support Services	40.73004972130843	2 Astor Place	Manhattan	NEW YORK	10003	-73.99278994498403	Urban Justice Center	Manhattan	Legal Services - Immigrant Youth	5-20	646.602.5633
Urban Justice Center at the Ali Forney Center	Immigration Services,Immigrant Support Services	40.74739972392154	527 22nd Street	Manhattan	NEW YORK	10011	-74.00552562193494	Urban Justice Center	Manhattan	Legal Services - Immigrant Youth	5-20	646-602-5633
Urban Justice Center at the Streetwork Project	Immigration Services,Immigrant Support Services	40.809154206198805	209 125 Street	Manhattan	NEW YORK	10027	-73.94868347483566	Urban Justice Center	Manhattan	Legal Services - Immigrant Youth	5-20	646-602-5633
Peter Cicchino Youth Project (PCYP)	Immigration Services,Immigrant Support Services	40.70909122458545	123 William Street	Manhattan	NEW YORK	10038	-74.006906978693	Urban Justice Center	Manhattan	Legal Services - Immigrant Youth	5-20	646-602-5633
Alianza Dominicana, Inc. (Admin & Activity site)	Immigration Services,Immigrant Support Services	40.83927054580515	1257 Ogden Avenue	Bronx	NEW YORK	10452	-73.92578827979769	Alianza Dominicana, Inc.	Bronx	Services - Immigrant Families	18+	212.740.1960
Big Brothers/Big Sisters, Inc. (Admin Site)	Immigration Services,Immigrant Support Services	40.85621992920642	223 30th Street	Manhattan	NEW YORK	10033	-73.94585900019268	Big Brothers/Big Sisters, Inc.	Manhattan	Services - Immigrant Families	11-14	212.994.7742
Big Brothers/Big Sisters, Inc. (Activity Site)	Immigration Services,Immigrant Support Services	40.81594441525443	555 Bergen Avenue	Bronx	NEW YORK	10455	-73.91641591148277	Big Brothers/Big Sisters, Inc.	Bronx	Services - Immigrant Families	11-14	212.994.7742
Big Brothers/Big Sisters, Inc. (Activity Site)	Immigration Services,Immigrant Support Services	40.67773088441804	280 Shepherd Avenue	Brooklyn	NEW YORK	11208	-73.88173831485612	Big Brothers/Big Sisters, Inc.	Brooklyn	Services - Immigrant Families	11-14	212.994.7742
Big Brothers/Big Sisters, Inc. (Activity Site)	Immigration Services,Immigrant Support Services	40.71311535449007	89 56 162nd Street	Jamaica	NEW YORK	11432	-73.79282099978928	Big Brothers/Big Sisters, Inc.	Jamaica	Services - Immigrant Families	11-14	212.994.7742
Cabrini Immigrant Services (Admin & Activity site)	Immigration Services,Immigrant Support Services	40.713327031343454	139 Henry Street	Manhattan	NEW YORK	10002	-73.99078213470762	Cabrini Center for Nursing & Rehabilitation	Manhattan	Services - Immigrant Families	18+	212.791.4590
JFK High School - Children's Arts & Science	Immigration Services,Immigrant Support Services	40.877210772673564	99 Terrace View Avenue	Bronx	NEW YORK	10463	-73.91213621128965	Children's Arts & Science Workshops, Inc.	Bronx	Services - Immigrant Families	All Ages	212-923-7766
Children's Arts & Sciences Workshops (Admin & Activity site)	Immigration Services,Immigrant Support Services	40.867820783175965	686 204th Street	Manhattan	NEW YORK	10034	-73.92367507747998	Children's Arts & Sciences Workshops	Manhattan	Services - Immigrant Families	11+	212-923-7766
Harbor Heights Middle School - Children's Arts & Science	Immigration Services,Immigrant Support Services	40.856389753646916	549 Audubon Avenue	Manhattan	NEW YORK	10040	-73.92672451121956	Children's Arts & Science Workshops, Inc.	Manhattan	Services - Immigrant Families	All Ages	212-923-7766
Goodwill Industries Greater NY-NJ (Admin & Activity site)	Immigration Services,Immigrant Support Services	40.62192951023877	1416 Avenue	Brooklyn	NEW YORK	11230	-73.96551106018723	Goodwill Industries of Greater New York	Brooklyn	Services - Immigrant Families	11+	718.339.0937
Make the Road New York (Admin & Activity site)	Immigration Services,Immigrant Support Services	40.63093452909704	479 Port Richmond Av	Staten Island	NEW YORK	10302	-74.13901464968129	Make the Road New York	Staten Island	Services - Immigrant Families	18+	718.565.8500 718.727.1222
Center for Integration and Advancement of New Americans (CIANA)	Immigration Services,Immigrant Support Services	40.77152402451418	31 09 Newtown Avenue	Queens	NEW YORK	11102	-73.92643545073543	New Immigrant Community Empowerment (NICE)	Queens	Services - Immigrant Families	All Ages	718.545.4040
New Immigrant Community Empowerment (NICE) (Admin & Activity site)	Immigration Services,Immigrant Support Services	40.63083331110846	37 41 77th Street	Queens	NEW YORK	10302	-74.13773429869889	New Immigrant Community Empowerment (NICE)	Queens	Services - Immigrant Families	18+	718.205.8796
Asian Americans for Equality - Queens	Immigration Services,Immigrant Support Services	40.76862022064671	133 04 39th Avenue	Queens	NEW YORK	11354	-73.82719028070687	Asian Americans for Equality - Queens	Queens	Immigrant/Refugee Assistance	Adult	718.961.0888 or 212.979.8381
COJO Flatbush	Immigration Services,Immigrant Support Services	40.61969757437525	1550 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96431415429318	Council of Jewish Organizations of Flatbush (COJO)	Brooklyn	Immigrant/Refugee Assistance	Adult	718.377.2900
St. George's Episcopal Church	Immigration Services,Immigrant Support Services	40.76862022064671	135 33 38th Avenue	Queens	NEW YORK	11354	-73.82719028070687	Flushing Jewish Community Council	Queens	Immigrant/Refugee Assistance	ESOL/Civics	718.463.0434
Henry Street Settlement - Workforce Development Center	Immigration Services,Immigrant Support Services	40.71844741559961	99 Essex Street	Manhattan	NEW YORK	10002	-73.98830122278652	Henry Street Settlement, Inc.	Manhattan	Immigrant/Refugee Assistance	ESOL/Civics	212.766.9200
Jackson Heights-Elmhust Kehilah	Immigration Services,Immigrant Support Services	40.75163073936716	33 47 91st Street (Jackson Heights	Queens	NEW YORK	11372	-73.88361254528269	Jackson Heights-Elmhust Kehilah, Inc.	Queens	Immigrant/Refugee Assistance	ESOL/Civics	718.457.4591
Make the Road New York-Jackson Heights Center	Immigration Services,Immigrant Support Services	40.75163073936716	71 24 Roosevelt Avenue	Queens	NEW YORK	11372	-73.88361254528269	Make the Road New York	Queens	Immigrant/Refugee Assistance	ESOL/Civics	718.565.8500
Make the Road New York	Immigration Services,Immigrant Support Services	40.74519376448069	49 06 Skillman Avenue	Queens	NEW YORK	11377	-73.9048471440804	Make the Road New York	Queens	Immigrant/Refugee Assistance	ESOL/Civics	718.565.8500
Jackson Heights Program	Immigration Services,Immigrant Support Services	40.75163073936716	74 09 37th Avenue (Jackson Heights	Queens	NEW YORK	11372	-73.88361254528269	Queens Community House, Inc.	Queens	Immigrant/Refugee Assistance	Adult	718.592.5757 or 718.898.7461
Homecrest Community Services, Inc.	Immigration Services,Immigrant Support Services	40.60123350732056	1413 Avenue	Brooklyn	NEW YORK	11229	-73.94436854117521	Shorefront Jewish Community Council	Brooklyn	Immigrant/Refugee Assistance	Adult	718.743.0575
Jay Senior Center	Immigration Services,Immigrant Support Services	40.598089925353555	2600 Ocean Avenue	Brooklyn	NEW YORK	11229	-73.95126983806618	Shorefront Jewish Community Council	Brooklyn	Immigrant/Refugee Assistance	Adult	718.743.0575
Southside Community Mission	Immigration Services,Immigrant Support Services	40.70581785170525	250 Hooper Street	Brooklyn	NEW YORK	11211	-73.9556640768342	Southside Community Mission, Inc.	Brooklyn	Immigrant/Refugee Assistance	ESOL/Civics	718.782.8181 or 718.387.6052
Southside Community Mission	Immigration Services,Immigrant Support Services	40.70499449388848	280 Marcy Avenue	Brooklyn	NEW YORK	11211	-73.95589166067984	Southside Community Mission, Inc.	Brooklyn	Immigrant/Refugee Assistance	Adult	718.782.8181 or 718.387.6052
United Communities Centers	Immigration Services,Immigrant Support Services,NDA Programs	40.66472649825768	613 New Lots Ave	Brooklyn	NEW YORK	11207	-73.88659110359023	United Communities Centers	Brooklyn	NDA Immigrants	All Ages	718-649-7979
Northern Manhattan Improvement Corporation (NMIC)	Immigration Services,Immigrant Support Services,NDA Programs	40.84705167605878	76 Wadsworth Avenue	Manhattan	NEW YORK	10033	-73.93704472494271	Northern Manhattan              Improvement Corporation	Manhattan	NDA Immigrants	All Ages	212-822-8300
F.E.G.S. Brooklyn Resource Center [Program site]	Immigration Services,Immigrant Support Services,NDA Programs	40.60700851986621	938 Kings Highway	Brooklyn	NEW YORK	11233	-73.96282101223699	Federation of Employment and Guidance Services, Inc.	Brooklyn	NDA Immigrants	Adult	718-336-2836x330
Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)	Immigration Services,Immigrant Support Services,NDA Programs	40.61789996472653	1416 Avenue M	Brooklyn	NEW YORK	11230	-73.96077504128672	Goodwill Industries of Greater New York	Brooklyn	NDA Immigrats	Adult	718- 339-0939
Goodwill Industries of NY & Northern NJ, Refugee and Immigrant Services (Program Site 2)	Immigration Services,Immigrant Support Services,NDA Programs	40.61772526251982	1222 Avenue M	Brooklyn	NEW YORK	11230	-73.96227992950067	Goodwill Industries of Greater New York	Brooklyn	NDA Immigrants	Adult	718-339-0939
Make the Road New York	Immigration Services,Immigrant Support Services,NDA Programs	40.7008190928138	391 Grove Street	Brooklyn	NEW YORK	11237	-73.91333075450414	Make the Road New York	Brooklyn	NDA Immigrants	Adult	718-418-7690 X 205
Make the Road New York	Immigration Services,Immigrant Support Services,NDA Programs	40.751979000030815	92 10 Roosevelt Avenue	Jackson Heights	NEW YORK	13372	-73.88282399992767	Make the Road New York	Jackson Heights	NDA Immigrants	Adult	718-418-7690 X 205
